MFC (lpm),P [PSI],T [C],Trial 1,Trial 2,Trial 3,Trials Average
0.250,11.530,21.890,0.25716,0.25704,0.25703,0.257076667
0.472,11.530,22.040,0.48509,0.4852,0.48522,0.48517
0.694,11.530,22.160,0.71394,0.71397,0.71383,0.713913333
0.917,11.530,22.310,0.94397,0.94389,0.94392,0.943926667
1.139,11.530,22.400,1.1725,1.1724,1.1725,1.172466667
1.361,11.530,22.420,1.14002,1.4003,1.4005,1.313606667
1.583,11.530,22.460,1.6281,1.6283,1.6278,1.628066667
1.806,11.530,22.510,1.856,1.8561,1.8561,1.856066667
2.028,11.530,22.540,2.0839,2.084,2.0837,2.083866667
2.250,11.530,22.580,2.3104,2.3099,2.3102,2.310166667
